"priority","area","document","public_url","admin_url","slot","what_it_is","field_status","renders_today","current_file","if_left_empty","supply_via","your_file_or_notes"
"2 — renders without it","Content","Article: In the Loop Vol. 24 — Combining Whole Person Impairment Figures","/in-the-loop/qa-insights/in-the-loop-vol-24-combining-whole-person-impairment-figures","/admin/collections/posts/1","heroImage","posts · In the Loop Vol. 24 — Combining Whole Person Impairment Figures","EMPTY","No","","Article header renders with no image behind it","Upload in the admin",""
"2 — renders without it","Content","Article: In the Loop Vol. 25 — Compiling Briefs to Medical Specialists","/in-the-loop/qa-insights/in-the-loop-vol-25-compiling-briefs-to-medical-specialists","/admin/collections/posts/2","heroImage","posts · In the Loop Vol. 25 — Compiling Briefs to Medical Specialists","EMPTY","No","","Article header renders with no image behind it","Upload in the admin",""
"2 — renders without it","Content","Article: In the Loop Vol. 26 — Why Maximum Medical Improvement is the Baseline for a Reliable IME","/in-the-loop/qa-insights/in-the-loop-vol-26-why-maximum-medical-improvement-is-the-baseline-for-a-reliable-ime","/admin/collections/posts/3","heroImage","posts · In the Loop Vol. 26 — Why Maximum Medical Improvement is the Baseline for a Reliable IME","EMPTY","No","","Article header renders with no image behind it","Upload in the admin",""
"2 — renders without it","Content","Article: In the Loop Vol. 27 — Timing the IME Process","/in-the-loop/qa-insights/in-the-loop-vol-27-timing-the-ime-process","/admin/collections/posts/4","heroImage","posts · In the Loop Vol. 27 — Timing the IME Process","EMPTY","No","","Article header renders with no image behind it","Upload in the admin",""
"2 — renders without it","Content","Event: 2025 AILA QLD Insurance Intensive ‘Risky Business’","/events/event/aila-qld-insurance-intensive-2025-risky-business","/admin/collections/events/8","image","events · 2025 AILA QLD Insurance Intensive ‘Risky Business’","EMPTY","No","","Event card renders without an image","Upload in the admin",""
"2 — renders without it","Content","Event: AILA National Conference 2024","/events/event/aila-national-conference-2024","/admin/collections/events/2","image","events · AILA National Conference 2024","EMPTY","No","","Event card renders without an image","Upload in the admin",""
"2 — renders without it","Content","Event: ALA Queensland Conference 2025","/events/event/ala-queensland-conference-2025","/admin/collections/events/7","image","events · ALA Queensland Conference 2025","EMPTY","No","","Event card renders without an image","Upload in the admin",""
"2 — renders without it","Content","Event: ALA Queensland Conference 2026","/events/event/ala-queensland-conference-2026","/admin/collections/events/11","image","events · ALA Queensland Conference 2026","EMPTY","No","","Event card renders without an image","Upload in the admin",""
"2 — renders without it","Content","Event: Breakfast Seminar with Dr Ashwani Garg","/events/event/breakfast-seminar-with-dr-ashwani-garg","/admin/collections/events/13","image","events · Breakfast Seminar with Dr Ashwani Garg","EMPTY","No","","Event card renders without an image","Upload in the admin",""
"2 — renders without it","Content","Event: Breakfast Seminar with Orthopaedic Surgeons","/events/event/breakfast-seminar-with-orthopaedic-surgeons","/admin/collections/events/1","image","events · Breakfast Seminar with Orthopaedic Surgeons","EMPTY","No","","Event card renders without an image","Upload in the admin",""
"2 — renders without it","Content","Event: Breakfast Seminar with Psychiatrists","/events/event/breakfast-seminar-with-psychiatrists","/admin/collections/events/5","image","events · Breakfast Seminar with Psychiatrists","EMPTY","No","","Event card renders without an image","Upload in the admin",""
"2 — renders without it","Content","Event: Gold Coast Client Dinner","/events/event/gold-coast-client-dinner","/admin/collections/events/4","image","events · Gold Coast Client Dinner","EMPTY","No","","Event card renders without an image","Upload in the admin",""
"2 — renders without it","Content","Event: Holiday Party 2025: VERIFY’s ‘Blue Christmas’","/events/event/holiday-party-2025-blue-christmas","/admin/collections/events/10","image","events · Holiday Party 2025: VERIFY’s ‘Blue Christmas’","EMPTY","No","","Event card renders without an image","Upload in the admin",""
"2 — renders without it","Content","Event: The Future is Female: Leading Ladies in Medicine & Law","/events/event/the-future-is-female-leading-ladies-in-medicine-and-law","/admin/collections/events/12","image","events · The Future is Female: Leading Ladies in Medicine & Law","EMPTY","No","","Event card renders without an image","Upload in the admin",""
"2 — renders without it","Content","Event: Travis Schultz & Partners Law & Wine Dinner for LifeFlight 2025","/events/event/travis-schultz-law-and-wine-dinner-lifeflight-2025","/admin/collections/events/9","image","events · Travis Schultz & Partners Law & Wine Dinner for LifeFlight 2025","EMPTY","No","","Event card renders without an image","Upload in the admin",""
"2 — renders without it","Content","Event: Travis Schultz & Partners Law & Wine Dinner for LifeFlight Sponsorship","/events/event/travis-schultz-law-and-wine-dinner-lifeflight-2024","/admin/collections/events/3","image","events · Travis Schultz & Partners Law & Wine Dinner for LifeFlight Sponsorship","EMPTY","No","","Event card renders without an image","Upload in the admin",""
"2 — renders without it","Content","Event: VERIFY End-of-Year Holiday Party 2024","/events/event/verify-end-of-year-holiday-party-2024","/admin/collections/events/6","image","events · VERIFY End-of-Year Holiday Party 2024","EMPTY","No","","Event card renders without an image","Upload in the admin",""
"2 — renders without it","Page","Page: Home","/","/admin/collections/pages/1","hero.media","Page hero (homeHero)","EMPTY","No","","Hero renders without its image panel","Upload in the admin",""
"2 — renders without it","Page","Page: In the Loop","/in-the-loop","/admin/collections/pages/21","hero.media","Page hero (pageHero)","EMPTY","No","","Hero renders without its image panel","Upload in the admin",""
"2 — renders without it","Page","Page: Style Guide","/style-guide","/admin/collections/pages/27","hero.media","Page hero (homeHero)","EMPTY","No","","Hero renders without its image panel","Upload in the admin",""
"2 — renders without it","People","Specialist: A/Prof Arman Sabet","/specialists/profiles/dr-arman-sabet","/admin/collections/specialists/23","photo","specialists · A/Prof Arman Sabet","SET","Yes — uploaded image","Dr Arman Sabet.png","","public/assets/images/specialist/Arman Sabet.png   (PNG — transparent)",""
"2 — renders without it","People","Specialist: Adjunct Professor Anna Lenardon","/specialists/profiles/adjunct-professor-anna-lenardon","/admin/collections/specialists/11","photo","specialists · Adjunct Professor Anna Lenardon","SET","Yes — uploaded image","Adj. Prof. Anna Lenardon.png","","public/assets/images/specialist/Anna Lenardon.png   (PNG — transparent)",""
"2 — renders without it","People","Specialist: Associate Professor Iulian Nusem","/specialists/profiles/associate-professor-iulian-nusem","/admin/collections/specialists/15","photo","specialists · Associate Professor Iulian Nusem","SET","Yes — uploaded image","Assoc. Prof Iulian Nusem.png","","public/assets/images/specialist/Iulian Nusem.png   (PNG — transparent)",""
"2 — renders without it","People","Specialist: Dr Adam Parr","/specialists/profiles/dr-adam-parr","/admin/collections/specialists/16","photo","specialists · Dr Adam Parr","SET","Yes — uploaded image","Dr Adam Parr.png","","public/assets/images/specialist/Adam Parr.png   (PNG — transparent)",""
"2 — renders without it","People","Specialist: Dr Amritash Rai","/specialists/profiles/dr-amritash-rai","/admin/collections/specialists/19","photo","specialists · Dr Amritash Rai","SET","Yes — uploaded image","Dr Amritash Rai.png","","public/assets/images/specialist/Amritash Rai.png   (PNG — transparent)",""
"2 — renders without it","People","Specialist: Dr Andrew Renaut","/specialists/profiles/dr-andrew-renaut","/admin/collections/specialists/21","photo","specialists · Dr Andrew Renaut","SET","Yes — uploaded image","Dr Andrew Renaut.png","","public/assets/images/specialist/Andrew Renaut.png   (PNG — transparent)",""
"2 — renders without it","People","Specialist: Dr Andrew Ryan","/specialists/profiles/dr-andrew-ryan","/admin/collections/specialists/22","photo","specialists · Dr Andrew Ryan","SET","Yes — uploaded image","Dr Andrew Ryan.png","","public/assets/images/specialist/Andrew Ryan.png   (PNG — transparent)",""
"2 — renders without it","People","Specialist: Dr Ashwani Garg","/specialists/profiles/dr-ashwani-garg","/admin/collections/specialists/8","photo","specialists · Dr Ashwani Garg","SET","Yes — uploaded image","Dr Ashwani Garg.png","","public/assets/images/specialist/Ashwani Garg.png   (PNG — transparent)",""
"2 — renders without it","People","Specialist: Dr Benjamin Erzetic","/specialists/profiles/dr-benjamin-erzetic","/admin/collections/specialists/6","photo","specialists · Dr Benjamin Erzetic","SET","Yes — uploaded image","Dr Benjamin Erzetic.png","","public/assets/images/specialist/Benjamin Erzetic.png   (PNG — transparent)",""
"2 — renders without it","People","Specialist: Dr Bill Donnelly","/specialists/profiles/dr-bill-donnelly","/admin/collections/specialists/3","photo","specialists · Dr Bill Donnelly","SET","Yes — uploaded image","Dr Bill Donnelly.png","","public/assets/images/specialist/Bill Donnelly.png   (PNG — transparent)",""
"2 — renders without it","People","Specialist: Dr David Wheatley","/specialists/profiles/dr-david-wheatley","/admin/collections/specialists/25","photo","specialists · Dr David Wheatley","SET","Yes — uploaded image","Dr David Wheatley.png","","public/assets/images/specialist/David Wheatley.png   (PNG — transparent)",""
"2 — renders without it","People","Specialist: Dr Gerald Yeo","/specialists/profiles/dr-gerald-yeo","/admin/collections/specialists/26","photo","specialists · Dr Gerald Yeo","SET","Yes — uploaded image","Dr Gerald Yeo.png","","public/assets/images/specialist/Gerald Yeo.png   (PNG — transparent)",""
"2 — renders without it","People","Specialist: Dr Hugh English","/specialists/profiles/dr-hugh-english","/admin/collections/specialists/5","photo","specialists · Dr Hugh English","SET","Yes — uploaded image","Dr Hugh English.png","","public/assets/images/specialist/Hugh English.png   (PNG — transparent)",""
"2 — renders without it","People","Specialist: Dr James McKeon","/specialists/profiles/dr-james-mckeon","/admin/collections/specialists/13","photo","specialists · Dr James McKeon","SET","Yes — uploaded image","Dr James McKeon.png","","public/assets/images/specialist/James McKeon.png   (PNG — transparent)",""
"2 — renders without it","People","Specialist: Dr James Reidy","/specialists/profiles/dr-james-reidy","/admin/collections/specialists/20","photo","specialists · Dr James Reidy","SET","Yes — uploaded image","Dr James Reidy.png","","public/assets/images/specialist/James Reidy.png   (PNG — transparent)",""
"2 — renders without it","People","Specialist: Dr Jason Beer","/specialists/profiles/dr-jason-beer","/admin/collections/specialists/1","photo","specialists · Dr Jason Beer","SET","Yes — uploaded image","Dr Jason Beer.png","","public/assets/images/specialist/Jason Beer.png   (PNG — transparent)",""
"2 — renders without it","People","Specialist: Dr Lucas Murphy","/specialists/profiles/dr-lucas-murphy","/admin/collections/specialists/14","photo","specialists · Dr Lucas Murphy","SET","Yes — uploaded image","Dr Lucas Murphy.png","","public/assets/images/specialist/Lucas Murphy.png   (PNG — transparent)",""
"2 — renders without it","People","Specialist: Dr Michael Karpa","/specialists/profiles/dr-michael-karpa","/admin/collections/specialists/10","photo","specialists · Dr Michael Karpa","SET","Yes — uploaded image","Dr Michael Karpa.png","","public/assets/images/specialist/Michael Karpa.png   (PNG — transparent)",""
"2 — renders without it","People","Specialist: Dr Michael Mar Fan","/specialists/profiles/dr-michael-mar-fan","/admin/collections/specialists/12","photo","specialists · Dr Michael Mar Fan","SET","Yes — uploaded image","Dr Michael Mar Fan.png","","public/assets/images/specialist/Michael Mar Fan.png   (PNG — transparent)",""
"2 — renders without it","People","Specialist: Dr Robert Hodge","/specialists/profiles/dr-robert-hodge","/admin/collections/specialists/9","photo","specialists · Dr Robert Hodge","SET","Yes — uploaded image","Dr Robert Hodge.png","","public/assets/images/specialist/Robert Hodge.png   (PNG — transparent)",""
"2 — renders without it","People","Specialist: Dr Samantha Davidson","/specialists/profiles/dr-samantha-davidson","/admin/collections/specialists/2","photo","specialists · Dr Samantha Davidson","SET","Yes — uploaded image","Dr Samantha Davidson.png","","public/assets/images/specialist/Samantha Davidson.png   (PNG — transparent)",""
"2 — renders without it","People","Specialist: Dr Simon Perkins","/specialists/profiles/dr-simon-perkins","/admin/collections/specialists/17","photo","specialists · Dr Simon Perkins","SET","Yes — uploaded image","Dr Simon Perkins.png","","public/assets/images/specialist/Simon Perkins.png   (PNG — transparent)",""
"2 — renders without it","People","Specialist: Dr Slava Poel","/specialists/profiles/dr-slava-poel","/admin/collections/specialists/18","photo","specialists · Dr Slava Poel","SET","Yes — uploaded image","Dr Slava Poel.png","","public/assets/images/specialist/Slava Poel.png   (PNG — transparent)",""
"2 — renders without it","People","Specialist: Dr Thomas Ulahannan","/specialists/profiles/dr-thomas-ulahannan","/admin/collections/specialists/24","photo","specialists · Dr Thomas Ulahannan","SET","Yes — uploaded image","Dr Thomas Ulahannan.png","","public/assets/images/specialist/Thomas Ulahannan.png   (PNG — transparent)",""
"2 — renders without it","People","Specialist: Dr Timothy Doyle","/specialists/profiles/dr-timothy-doyle","/admin/collections/specialists/4","photo","specialists · Dr Timothy Doyle","SET","Yes — uploaded image","Dr Timothy Doyle.png","","public/assets/images/specialist/Timothy Doyle.png   (PNG — transparent)",""
"2 — renders without it","People","Specialist: Ms Orla Fox","/specialists/profiles/ms-orla-fox","/admin/collections/specialists/7","photo","specialists · Ms Orla Fox","SET","Yes — uploaded image","Ms Orla Fox.png","","public/assets/images/specialist/Orla Fox.png   (PNG — transparent)",""
"2 — renders without it","People","Team: Aki Tsimouris","/about/team/aki-tsimouris","/admin/collections/team/14","photo","team · Aki Tsimouris","SET","Yes — uploaded image","aki-tsimouris.jpg","","public/assets/images/team/aki-tsimouris.jpg   (JPEG fine — opaque)",""
"2 — renders without it","People","Team: Eva Tabrizi","/about/team/eva-tabrizi","/admin/collections/team/16","photo","team · Eva Tabrizi","SET","Yes — uploaded image","eva-tabrizi.jpg","","public/assets/images/team/eva-tabrizi.jpg   (JPEG fine — opaque)",""
"2 — renders without it","People","Team: Fruzsina Toth","/about/team/fruzsina-toth","/admin/collections/team/2","photo","team · Fruzsina Toth","SET","Yes — uploaded image","fruzsina-toth.jpg","","public/assets/images/team/fruzsina-toth.jpg   (JPEG fine — opaque)",""
"2 — renders without it","People","Team: Georgia Gowen","/about/team/georgia-gowen","/admin/collections/team/6","photo","team · Georgia Gowen","SET","Yes — uploaded image","georgia-gowen.jpg","","public/assets/images/team/georgia-gowen.jpg   (JPEG fine — opaque)",""
"2 — renders without it","People","Team: James Heffernan","/about/team/james-heffernan","/admin/collections/team/15","photo","team · James Heffernan","SET","Yes — uploaded image","james-heffernan.jpg","","public/assets/images/team/james-heffernan.jpg   (JPEG fine — opaque)",""
"2 — renders without it","People","Team: Jordan Dennis","/about/team/jordan-dennis","/admin/collections/team/17","photo","team · Jordan Dennis","SET","Yes — uploaded image","jordan-dennis.jpg","","public/assets/images/team/jordan-dennis.jpg   (JPEG fine — opaque)",""
"2 — renders without it","People","Team: Leilani Villatoro","/about/team/leilani-villatoro","/admin/collections/team/8","photo","team · Leilani Villatoro","SET","Yes — uploaded image","leilani-villatoro.jpg","","public/assets/images/team/leilani-villatoro.jpg   (JPEG fine — opaque)",""
"2 — renders without it","People","Team: Madeline Cook","/about/team/madeline-cook","/admin/collections/team/19","photo","team · Madeline Cook","SET","Yes — uploaded image","madeline-cook.jpg","","public/assets/images/team/madeline-cook.jpg   (JPEG fine — opaque)",""
"2 — renders without it","People","Team: Mel Smith","/about/team/mel-smith","/admin/collections/team/13","photo","team · Mel Smith","SET","Yes — uploaded image","mel-smith.jpg","","public/assets/images/team/mel-smith.jpg   (JPEG fine — opaque)",""
"2 — renders without it","People","Team: Naomi Wijedoru","/about/team/naomi-wijedoru","/admin/collections/team/9","photo","team · Naomi Wijedoru","SET","Yes — uploaded image","naomi-wijedoru.jpg","","public/assets/images/team/naomi-wijedoru.jpg   (JPEG fine — opaque)",""
"2 — renders without it","People","Team: Richa","/about/team/richa","/admin/collections/team/4","photo","team · Richa","SET","Yes — uploaded image","richa.jpg","","public/assets/images/team/richa.jpg   (JPEG fine — opaque)",""
"2 — renders without it","People","Team: Ruby Connelly","/about/team/ruby-connelly","/admin/collections/team/10","photo","team · Ruby Connelly","SET","Yes — uploaded image","ruby-connelly.jpg","","public/assets/images/team/ruby-connelly.jpg   (JPEG fine — opaque)",""
"2 — renders without it","People","Team: Ruby Turner","/about/team/ruby-turner","/admin/collections/team/11","photo","team · Ruby Turner","SET","Yes — uploaded image","ruby-turner.jpg","","public/assets/images/team/ruby-turner.jpg   (JPEG fine — opaque)",""
"2 — renders without it","People","Team: Sharla Knechtli","/about/team/sharla-knechtli","/admin/collections/team/12","photo","team · Sharla Knechtli","SET","Yes — uploaded image","sharla-knechtli.jpg","","public/assets/images/team/sharla-knechtli.jpg   (JPEG fine — opaque)",""
"2 — renders without it","People","Team: Sophia Ryan","/about/team/sophia-ryan","/admin/collections/team/18","photo","team · Sophia Ryan","SET","Yes — uploaded image","sophia-ryan.jpg","","public/assets/images/team/sophia-ryan.jpg   (JPEG fine — opaque)",""
"2 — renders without it","People","Team: Spencer Winchester","/about/team/spencer-winchester","/admin/collections/team/3","photo","team · Spencer Winchester","SET","Yes — uploaded image","spencer-winchester.jpg","","public/assets/images/team/spencer-winchester.jpg   (JPEG fine — opaque)",""
"2 — renders without it","People","Team: Sydney Shepard","/about/team/sydney-shepard","/admin/collections/team/5","photo","team · Sydney Shepard","SET","Yes — uploaded image","sydney-shepard.jpg","","public/assets/images/team/sydney-shepard.jpg   (JPEG fine — opaque)",""
"2 — renders without it","People","Team: Thanh Nguyen","/about/team/thanh-nguyen","/admin/collections/team/7","photo","team · Thanh Nguyen","SET","Yes — uploaded image","thanh-nguyen.jpg","","public/assets/images/team/thanh-nguyen.jpg   (JPEG fine — opaque)",""
"2 — renders without it","People","Team: Wes Lerch","/about/team/wes-lerch","/admin/collections/team/1","photo","team · Wes Lerch","SET","Yes — uploaded image","wes-lerch.jpg","","public/assets/images/team/wes-lerch.jpg   (JPEG fine — opaque)",""
"3 — optional","Brand","Site Settings","site-wide","/admin/globals/site-settings","logoFooter","Brand asset","INHERITED","Yes — the main logo","","Falls back to the main logo","Upload in the admin",""
"3 — optional","Content","Article: In the Loop Vol. 24 — Combining Whole Person Impairment Figures","/in-the-loop/qa-insights/in-the-loop-vol-24-combining-whole-person-impairment-figures","/admin/collections/posts/1","author.photo","posts · Sharla Knechtli","EMPTY","No","","Byline renders with no avatar; can come from a linked Team member","Upload in the admin",""
"3 — optional","Content","Article: In the Loop Vol. 24 — Combining Whole Person Impairment Figures","/in-the-loop/qa-insights/in-the-loop-vol-24-combining-whole-person-impairment-figures","/admin/collections/posts/1","meta.image","Article social preview image","INHERITED","Yes — site-wide share card","","Falls back to Site Settings → Social image","Upload in the admin",""
"3 — optional","Content","Article: In the Loop Vol. 25 — Compiling Briefs to Medical Specialists","/in-the-loop/qa-insights/in-the-loop-vol-25-compiling-briefs-to-medical-specialists","/admin/collections/posts/2","author.photo","posts · Aki Tsimouris","EMPTY","No","","Byline renders with no avatar; can come from a linked Team member","Upload in the admin",""
